player,url,wikidata
Tom Ince,https://en.wikipedia.org/wiki/Tom_Ince,http://www.wikidata.org/entity/Q18982
Adam Miller,"https://en.wikipedia.org/wiki/Adam_Miller_(footballer,_born_1982)",http://www.wikidata.org/entity/Q19177
Alan Julian,https://en.wikipedia.org/wiki/Alan_Julian,http://www.wikidata.org/entity/Q19181
Juan Bernat,https://en.wikipedia.org/wiki/Juan_Bernat,http://www.wikidata.org/entity/Q19367
Vicente Guaita,https://en.wikipedia.org/wiki/Vicente_Guaita,http://www.wikidata.org/entity/Q19365
Oscar dos Santos Emboaba Júnior,"https://en.wikipedia.org/wiki/Oscar_(footballer,_born_1991)",http://www.wikidata.org/entity/Q19497
Maurice Cook,https://en.wikipedia.org/wiki/Maurice_Cook,http://www.wikidata.org/entity/Q19832
Francesco Totti,https://en.wikipedia.org/wiki/Francesco_Totti,http://www.wikidata.org/entity/Q20110
Kurt Sommerlatt,https://en.wikipedia.org/wiki/Kurt_Sommerlatt,http://www.wikidata.org/entity/Q22561
Fritz Walter,https://en.wikipedia.org/wiki/Fritz_Walter,http://www.wikidata.org/entity/Q22717
Yannick Cahuzac,https://en.wikipedia.org/wiki/Yannick_Cahuzac,http://www.wikidata.org/entity/Q27789
Fousséni Diawara,https://en.wikipedia.org/wiki/Fousseni_Diawara,http://www.wikidata.org/entity/Q27800
Arnaud Maire,https://en.wikipedia.org/wiki/Arnaud_Maire,http://www.wikidata.org/entity/Q27805
Julian Palmieri,https://en.wikipedia.org/wiki/Julian_Palmieri,http://www.wikidata.org/entity/Q27819
Paul Lasne,https://en.wikipedia.org/wiki/Paul_Lasne,http://www.wikidata.org/entity/Q27822
Anthony Lippini,https://en.wikipedia.org/wiki/Anthony_Lippini,http://www.wikidata.org/entity/Q27856
André Biyogo Poko,https://en.wikipedia.org/wiki/Andr%C3%A9_Biyogo_Poko,http://www.wikidata.org/entity/Q31951
Francis Gillot,https://en.wikipedia.org/wiki/Francis_Gillot,http://www.wikidata.org/entity/Q31968
David Alaba,https://en.wikipedia.org/wiki/David_Alaba,http://www.wikidata.org/entity/Q31981
Sebastián Morquio,https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Morquio,http://www.wikidata.org/entity/Q32158
