id,url,occupation,wikiid
Zeami Motokiyo,https://en.wikipedia.org/wiki/Zeami_Motokiyo,actor,http://www.wikidata.org/entity/Q169352
Kazuki Yao,https://en.wikipedia.org/wiki/Kazuki_Yao,actor,http://www.wikidata.org/entity/Q166267
Rina Hidaka,https://en.wikipedia.org/wiki/Rina_Hidaka,actor,http://www.wikidata.org/entity/Q152707
Ishirō Honda,https://en.wikipedia.org/wiki/Ishir%C5%8D_Honda,actor,http://www.wikidata.org/entity/Q150840
Mayu Watanabe,https://en.wikipedia.org/wiki/Mayu_Watanabe,actor,http://www.wikidata.org/entity/Q187662
Takanori Nishikawa,https://en.wikipedia.org/wiki/Takanori_Nishikawa,actor,http://www.wikidata.org/entity/Q187553
Kōki Hirota,https://en.wikipedia.org/wiki/K%C5%8Dki_Hirota,politician,http://www.wikidata.org/entity/Q351652
Go-Yōzei,https://en.wikipedia.org/wiki/Emperor_Go-Y%C5%8Dzei,politician,http://www.wikidata.org/entity/Q349440
Nashimoto Morimasa,https://en.wikipedia.org/wiki/Prince_Nashimoto_Morimasa,politician,http://www.wikidata.org/entity/Q339595
Hiroshi Moriyama,https://en.wikipedia.org/wiki/Hiroshi_Moriyama,politician,http://www.wikidata.org/entity/Q337762
Seizō Kobayashi,https://en.wikipedia.org/wiki/Seiz%C5%8D_Kobayashi,politician,http://www.wikidata.org/entity/Q697702
Takio Izawa,https://en.wikipedia.org/wiki/Takio_Izawa,politician,http://www.wikidata.org/entity/Q697437
Nobutaka Machimura,https://en.wikipedia.org/wiki/Nobutaka_Machimura,politician,http://www.wikidata.org/entity/Q697258
Uchida Kakichi,https://en.wikipedia.org/wiki/Uchida_Kakichi,politician,http://www.wikidata.org/entity/Q697202
Hiromu Nonaka,https://en.wikipedia.org/wiki/Hiromu_Nonaka,politician,http://www.wikidata.org/entity/Q696583
Shinjirō Koizumi,https://en.wikipedia.org/wiki/Shinjir%C5%8D_Koizumi,politician,http://www.wikidata.org/entity/Q661410
Masanao Ozaki,https://en.wikipedia.org/wiki/Masanao_Ozaki,politician,http://www.wikidata.org/entity/Q656644
Sekinari Nii,https://en.wikipedia.org/wiki/Sekinari_Nii,politician,http://www.wikidata.org/entity/Q656326
Keiji Yamada,https://en.wikipedia.org/wiki/Keiji_Yamada,politician,http://www.wikidata.org/entity/Q656085
